titles,Tfidf,BERT,GloVe,Score
Advisory Board Member at Celal Bayar University,0.148657826,0.58967435,0.737181208,0.58967435
Aspiring Human Resources Specialist,0.281644163,0.7023107,0.065309691,0.7023107
Student at Humber College and Aspiring Human Resources Generalist,0.055388855,0.629257,0.266039949,0.629257
HR Senior Specialist,0.074640128,0.7000693,0.705534143,0.7000693
Aspiring Human Resources Management student seeking an internship,0.123789398,0.46012574,0.182718598,0.46012574
Seeking Human Resources Opportunities,0.074640128,0.7000693,0.148487129,0.7000693
Aspiring Human Resources Management student seeking an internship,0.123789398,0.46012574,0.182718598,0.46012574
Seeking Human Resources Opportunities,1,1,0.148487129,1
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288
Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003
Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651
People Development Coordinator at Ryan,0.035722851,0.6389729,0.512606907,0.6389729
Advisory Board Member at Celal Bayar University,0.148657826,0.58967435,0.737181208,0.58967435
Aspiring Human Resources Specialist,0.281644163,0.7023107,0.065309691,0.7023107
Student at Humber College and Aspiring Human Resources Generalist,0.055388855,0.629257,0.266039949,0.629257
HR Senior Specialist,0.281644163,0.7023107,0.705534143,0.7023107
Student at Humber College and Aspiring Human Resources Generalist,0.149043324,0.5197734,0.266039949,0.5197734
Seeking Human Resources HRIS and Generalist Positions,0.055595184,0.55103076,0.230000782,0.55103076
Student at Chapman University,0.02405312,0.6446765,0.698451168,0.6446765
"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",0.06358818,0.6185253,0.675424954,0.6185253
Human Resources Coordinator at InterContinental Buckhead Atlanta,1,1,0.425909368,1
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288
Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.63058475,0.61155003
Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651
People Development Coordinator at Ryan,0.035722851,0.6389729,0.512606907,0.6389729
Advisory Board Member at Celal Bayar University,0.148657826,0.58967435,0.737181208,0.58967435
Aspiring Human Resources Specialist,0.281644163,0.7023107,0.065309691,0.7023107
Student at Humber College and Aspiring Human Resources Generalist,0.055388855,0.629257,0.266039949,0.629257
HR Senior Specialist,0.281644163,0.7023107,0.705534143,0.7023107
Student at Humber College and Aspiring Human Resources Generalist,0.149043324,0.5197734,0.266039949,0.5197734
Seeking Human Resources HRIS and Generalist Positions,0.055595184,0.55103076,0.230000782,0.55103076
Student at Chapman University,0.02405312,0.6446765,0.698451168,0.6446765
"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",0.06358818,0.6185253,0.675424954,0.6185253
Human Resources Coordinator at InterContinental Buckhead Atlanta,1,1,0.425909368,1
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.286827042,0.61155003,0.448482757,0.61155003
Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651
People Development Coordinator at Ryan,0.148657826,0.58967435,0.512606907,0.58967435
Aspiring Human Resources Specialist,0.055388855,0.629257,0.065309691,0.629257
HR Senior Specialist,0.149043324,0.5197734,0.705534143,0.5197734
Seeking Human Resources HRIS and Generalist Positions,0.055595184,0.5510307,0.230000782,0.5510307
Student at Chapman University,0.02405312,0.6446765,0.698451168,0.6446765
"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",0.06358818,0.6185253,0.675424954,0.6185253
Human Resources Coordinator at InterContinental Buckhead Atlanta,0.220264952,0.78663254,0.425909368,0.78663254
Experienced Retail Manager and aspiring Human Resources Professional,0.193127594,0.62833434,0.234267204,0.62833434
"Human Resources, Staffing and Recruiting Professional",0.077916337,0.6530659,0.223103683,0.6530659
Human Resources Specialist at Luxottica,0.147593444,0.5665446,0.28786323,0.5665446
"Director of Human Resources North America, Groupe Beneteau",0.050440068,0.61768925,0.352210633,0.61768925
"Retired Army National Guard Recruiter, office manager,  seeking a position in Human Resources.",0.064341291,0.6354432,0.395203294,0.6354432
"Human Resources Generalist at ScottMadden, Inc.",0.153182295,0.71479523,0.195973642,0.71479523
Business Management Major and Aspiring Human Resources Manager,0.122774293,0.7119286,0.235060295,0.7119286
"Aspiring Human Resources Manager, seeking internship in Human Resources.",0.256524724,0.60845697,0.17435324,0.60845697
Human Resources Professional,0.047347006,0.5978075,0.122067547,0.5978075
"Nortia Staffing is seeking Human Resources, Payroll & Administrative Professionals!!  (408) 709-2621",0.111925342,0.6058723,0.29492901,0.6058723
Aspiring Human Resources Professional | Passionate about helping to create an inclusive and engaging work environment,0.037818215,0.44963223,0.215227592,0.44963223
"Human Resources|
Conflict Management|
Policies & Procedures|Talent Management|Benefits & Compensation",0.078585801,0.66038525,0.284106674,0.66038525
Human Resources Generalist at Schwan's,0.089655598,0.65519273,0.334475297,0.65519273
Liberal Arts Major. Aspiring Human Resources Analyst.,0.031904112,0.6353841,0.229689782,0.6353841
Junior MES Engineer| Information Systems,0.156588664,0.7143743,0.623312503,0.7143743
Senior Human Resources Business Partner at Heil Environmental,0.154372501,0.61402386,0.263376016,0.61402386
Aspiring Human Resources Professional | An energetic and Team-Focused Leader,0.031722646,0.6632888,0.222842806,0.6632888
HR Manager at Endemol Shine North America,0.091633741,0.72261393,0.736691603,0.72261393
Human Resources professional for the world leader in GIS software,0.024699004,0.63051426,0.266653603,0.63051426
RRP Brand Portfolio Executive at JTI (Japan Tobacco International),0.087555918,0.6065528,0.766879679,0.6065528
Information Systems Specialist and Programmer with a love for data and organization.,0.151916589,0.45922172,0.430924792,0.45922172
Bachelor of Science in Biology from Victoria University of Wellington,0.082519569,0.564631,0.659682421,0.564631
Human Resources Management Major,0.100025035,0.60383075,0.212147045,0.60383075
Director Human Resources  at EY,0.030997803,0.61169696,0.237249369,0.61169696
Undergraduate Research Assistant at Styczynski Lab,0.032994459,0.56771165,0.579675289,0.56771165
Lead Official at Western Illinois University,0.024720504,0.50498956,0.615102781,0.50498956
Seeking employment opportunities within Customer Service or Patient Care,0.026354756,0.4837152,0.470367608,0.4837152
Admissions Representative at Community medical center long beach,0.103737659,0.43900838,0.576234182,0.43900838
Seeking Human  Resources Opportunities. Open to travel and relocation.,0.041171734,0.57935655,0.273391707,0.57935655
Student at Westfield State University,0.121942672,0.73159826,0.662893455,0.73159826
"Student at Indiana University Kokomo - Business Management - 
Retail Manager at Delphi Hardware and Paint",0.286827042,0.61155003,0.658487793,0.61155003
Aspiring Human Resources Professional,0.107479836,0.45813096,0.07433728,0.45813096
Student,0.12062732,0.48241496,0.637005197,0.48241496
Seeking Human Resources Position,0.06776483,0.6744401,0.189530808,0.6744401
Aspiring Human Resources Manager | Graduating May 2020 | Seeking an Entry-Level Human Resources Position in St. Louis,0.078585801,0.5746161,0.342187195,0.5746161
Human Resources Generalist at Loparex,0.080351029,0.52640057,0.195973642,0.52640057
Business Intelligence and Analytics at Travelers,0.029343733,0.5732413,0.651472663,0.5732413
Always set them up for Success,0.123386575,0.6063194,0.594102959,0.6063194
